respuesta,nota
"Una variable es un espacio con nombre en la memoria donde se almacena un valor que puede cambiar durante la ejecución del programa. Los tipos de datos básicos son entero, real (float/double), carácter, booleano y cadena. Declarar una variable reserva la posición necesaria, permite al compilador saber el tipo y facilita el manejo del algoritmo, los casos borde y la reutilización del código.",10.0
"Variable: nombre que representa una posición de memoria que contiene un dato. Tipos básicos: int, float, char, bool. Declarar sirve para que el compilador reserve espacio y podamos usarla en cálculos y decisiones. Además ayuda a organizar el algoritmo y a controlar errores.",10.0
"Una variable es un contenedor identificado que almacena datos en memoria. Los tipos básicos incluyen entero, decimal, carácter y lógico. Al declararla se asigna un espacio y se indica el tipo, lo que permite usarla en operaciones, optimizar tiempo de ejecución y evitar errores de tipo.",10.0
"Variable = nombre + espacio en RAM que guarda un valor. Tipos: int, double, char, bool, string. Declarar una variable indica al compilador cuánto espacio necesita y de qué tipo es, facilitando la lectura del código, la depuración y la reutilización del mismo.",10.0
"Una variable es una ubicación etiquetada en la memoria que contiene un dato mutable. Los tipos básicos son entero, punto flotante, carácter, booleano y cadena. Declararla reserva memoria, permite al algoritmo usarla, manejar casos límite y mejorar la claridad del código.",10.0
"Variable: posición nombrada en la memoria que almacena un valor que puede cambiar. Tipos básicos: int, float, char, bool, string. Declarar indica al compilador el tipo y el tamaño, ayuda a organizar el algoritmo, a controlar errores y a reutilizar la variable.",10.0
"Una variable es un nombre que referencia una zona de memoria donde se guarda un dato. Los tipos básicos son entero, real, carácter, booleano y cadena. Declararla sirve para reservar espacio, definir el tipo y permitir su uso en cálculos, pruebas y manejo de casos borde.",10.0
"Variable = espacio con nombre en la memoria que contiene un dato. Tipos básicos: entero, flotante, carácter, lógico y cadena. Declarar una variable reserva memoria, define su tipo, facilita la estructura del algoritmo y permite el control de errores y la reutilización.",10.0
"Una variable es una zona de memoria identificada por un nombre donde se almacena un valor que puede variar. Los tipos básicos incluyen int, float, char, bool y string. Declararla asigna el espacio necesario y el tipo, lo que ayuda al compilador, al control de errores y a la claridad del código.",10.0
"Variable: ubicación nombrada en la RAM que almacena un dato mutable. Tipos básicos: entero, decimal, carácter, booleano y cadena. Declarar una variable permite reservar memoria, indicar el tipo, estructurar el algoritmo y facilitar pruebas y depuración.",10.0
"Una variable es una etiqueta para una posición de memoria que contiene un dato. Los tipos básicos son int, double, char y bool. Declararla sirve para que el compilador reserve espacio y el programa pueda usarla en operaciones y decisiones.",8.0
Variable es un nombre que apunta a un espacio en memoria donde se guarda un valor. Los tipos básicos son entero y flotante. Declarar sirve para reservar ese espacio y poder usarlo después en el código.,8.0
"Una variable es un sitio en la memoria con un nombre, donde guardamos datos como números o caracteres. Los tipos básicos son int, float, char y bool. Declararla permite al programa usarla y evita errores de tipo.",8.0
"Variable: nombre que representa una posición de memoria donde se almacena un dato, como int o float. Declarar la variable reserva espacio y permite su uso en cálculos y decisiones del algoritmo.",8.0
"Una variable es una ubicación en memoria identificada por un nombre que contiene un dato. Los tipos básicos son entero, real y carácter. Declararla sirve para reservar espacio y permitir su uso en el programa.",8.0
